,工事分野,工事の種類,工種,工法・形式名,災害分類,事故分類,天候,事故発生年・月・時間,事故発生場所（都道府県）,事故に至る経緯と事故の状況,事故の要因（背景も含む）,事故発生後の対策
475,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,建設機械等の転倒、下敷、接触、衝突等,,2020年6月22時,福井県,トンネルのずり出し作業において、被災者はロックボルトの組立作業が終わったのち、落ちていた石を拾おうとしてクラッシャーの横に立ち入った際、掘削ずりをクラッシャーに投入するためにバックしてきたタイヤショベルに接触し、被災した。,作業手順にないベルコンとダンプの併用作業を行ったため、立入禁止措置と見張り員がない状態で作業を行った。,
476,下水道,土木一式,管渠推進工事,管渠推進工,労働災害,取扱運搬等,曇り,2020年7月13時,兵庫県,現場内にてヒューム管の運搬作業中、被災者がフォークリフトから降ろした管が転がってきたため、危険だと思いその場から逃げようとしたが間に合わず、歯止めを越えてきた管と既存の管に挟まれ被災した。,計画していた内容と異なる作業内容であったのに、変更計画及び変更手順書を作成せず、そのまま作業を続けていた。被災した作業員が管と管の間に留まろうとするという安全に対する意識不足があった。管の降ろす場所を運転手が誤り降ろしてしまった。作業を監視する監視員が配置されていなかった。,施工方法の変更が起きた場合は現場を中断し、計画及び手順書を作成作業員全員に周知を行う。今後はフォークリフトを使用せず、クローラークレーンにてヒューム管の移動作業を行う。ヒューム管の歯止め設置作業は、ヒューム管置場の左右に立ち入り禁止ラインを設け、ラインの外側から設置する。また、管と管の間に立ち入らないことを改めて作業員全員に周知させる。クローラークレーンでのヒューム管搬入移動作業は合図者を配置し、旋回範囲での人払い・荷下ろし箇所への誘導を確実に行う。作業手順書の作業図に配置箇所を明記する。朝礼やKY活動で当日の監視員作業者を確認する。
477,河川,土木一式,その他土木一式工事,その他土木一式工,労働災害,工具等取り扱い,晴,2020年7月10時,宮崎県,残土処分地で支障になる木を伐採し、その伐採材の玉切り中にチェーンソーが跳ね返り左足甲に接触した。,正しい姿勢で作業を行わなかったこと。チェーンソーのガイド・バー先端部上側が材に当たりキックバックが発生したこと。,立った姿勢での構えは、両足を肩幅程度に開き、地面にしっかり両足を固定すること。材を切断する際は、ガイド・バーに足を近づけないこと。キックバックを防ぐため、ガイド・バー先端部上側で直接材を切らない。チェ－ンソーとの接触による事故を防ぐため、できるだけ安全靴を着用して作業を行うこと。
478,砂防・地滑り,土木一式,根固・水制工事,根固・水制工,労働災害,工具等取り扱い,,2020年7月14時,岐阜県,,,
479,建築,建築一式,建築一式工事,建築一式工（１）,第三者災害,その他,,2020年7月13時,熊本県,,,
480,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,取扱運搬等,,2020年7月17時,静岡県,崩土による道路通行止めでの作業において、被災者が玉掛け作業をしている時に、同時に仮設防護柵基礎の埋戻し作業をしていたバックホウの排土板が鋼矢板に接触して荷崩れを起こし、玉掛け作業をしていた作業員の足に崩れ落ちた。,同時作業で、仮設防護柵基礎埋戻し、舗装路盤工、鋼矢板の溶接と作業を急ぎ、焦ってしまった。鋼矢板の仮置きする時は、並列に置かないようにして、万一崩れても、作業員が退避できるスペースを確保していなかった。,
481,道路,維持修繕,維持修繕工事,維持修繕工,労働災害,建設機械等の転倒、下敷、接触、衝突等,曇り,2020年7月13時,新潟県,肩掛け式除草範囲をハンドガイド式で作業中、被災者が排水土側溝を乗り越え様とした所、バランスを崩しステップから転落した。,指示された作業箇所が予定より早く終わり、ハンドガイド式除草機械による除草を予定していないかった作業箇所であった。,ＫＹ活動において、リスクアセスメントにより危険要因の特定及びリスク評価の再確認。指示された工法・手順の遵守、作業前点検表を用いて点検・確認の実施。報連相の徹底。追加作業を行う場合は、元請け職員、職長と一緒に作業前点検表を用いて現場を確認。作業前に作業箇所・範囲の状況確認を行う。作業範囲や障害物には、紅白ポール、杭、テープ等で明示し、周囲を除草し、全員に周知徹底を図る。作業中、不陸による異音が発生した場合、エンジンを停止し、機械から降りて現地を確認。万が一に備え最徐行にて作業を行う。
482,河川,維持修繕,維持修繕工事,維持修繕工,第三者災害,その他,,2020年7月0時,山梨県,,,
483,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,工具等取り扱い,晴,2020年7月21時,沖縄県,ｵﾍﾟﾚｰﾀは削岩機とﾛｯﾄﾞを接続し、ロッドを回転させたときスリット部が破断して鋼管の一部が飛来し被災者に当たった。,ﾛｯﾄﾞ接続時、ﾈｼﾞ山の掛が浅かったため、鋼管内で外れた。ｵﾍﾟﾚｰﾀと作業者の合図確認不足で、削岩機に不用意に近づいた。,作業員はロッドとスリーブを繋げる際、ネジ山が見えなくなる位置までスリーブを回し繋げる。オペレータは、合図もなく作業員の接近に気付いたら操作を止める。作業員は、オペレータからの指示がない限り打設鋼管に接近しない。合図は大声と手合図で明確に行う。点検・整備作業時には機械を停止して行う。作業手順を再確認し、作業内容の変化点での状況を確認を実施した後で次の工程に進む。
484,河川,土木一式,築堤工事,築堤工,第三者災害,自動車の転倒、下敷、接触、衝突等,,2020年7月15時,大阪府,現場出入口の交差点において、コンクリート殻を積載したダンプが、横断歩道を渡ろうとした自転車と接触しそうになった。,ダンプ運転手の左方横断歩道の確認不足。,
485,建築,とび・土工・コンクリート,構造物撤去工事,構造物撤去工,労働災害,墜落,雨,2020年7月16時,静岡県,鉄骨造り解体工事において、踊り場と階段の接続部をレッカーで吊りながらガス切断していた所、踊り場が斜めに傾き、被災者が落下し被災した。,安全帯をせずに作業をした為。,定期的な安全教育の実施。就業規則違反に対する厳罰化。作業の前に作業手順、構造の安全性の確認等、細かい打合せを行う。
486,建築,建築一式,建築一式工事,建築一式工（１）,第三者災害,飛来、落下,,2020年7月9時,長崎県,,,
487,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,自動車の転倒、下敷、接触、衝突等,雨,2020年7月9時,大分県,片側交互通行規制中に、接触事故が起こった。,片側交互通行規制において、交通誘導員の伝達内容の不備が事故の一因であった。車種のみを伝え、ナンバーを伝えていないことが事故に繋がったと思われる。,交通誘導員の車両伝達内容の追加、KY活動時や安全教育時指示に作業手順書の再確認及び再教育。
488,造園（余暇施設含む）,造園,造園工事（余暇施設を含む）,造園工（余暇施設を含む）,労働災害,飛来、落下,曇り,2020年7月14時,千葉県,伐倒作業において、伐倒したケヤキの木が倒そうとしていた方向とは反対方向に倒れ、幹の先端部が被災者に当たり負傷した。,伐木作業中に被災者が規制をしてあった危険範囲内に入ってしまった。規則で定められた伐採作業方法、作業手順ではなかった。,再発防止に向け、労働安全衛生規則等の関係法令を遵守し、適切に作業を行うよう、ガイドラインや伐木作業時の安全対策に関するリーフレットを添付し通知した。
489,道路,維持修繕,維持修繕工事,維持修繕工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,晴,2020年7月13時,千葉県,歩車道境界際にあるヤシの木の剪定作業を行っていたところ、信号機引込電力線を高所作業車のバケットで切断してしまい、交差点内の信号機が不点灯となった。,剪定した葉がバケットに満載になっていて周囲が見え難かった。監視員と歩行者誘導を兼任していたため、専任の監視員がいなかった。天候が崩れてきたので剪定作業を急いでおり、ブームを縮める操作と倒す操作を同時に行いバケットの軌道が膨らんでしまった。ヤシにバケットをぶつけないように気を取られていた。剪定葉の荷下ろしは歩道側で行うように指示を行っていたが離隔が足りず適切な指示ではなかった。,バケットに積込む量を視覚がさえぎられるほどの事がないようにする。高所作業車や重機作業を行う際は監視員を専任し、無線機を使用する。朝礼時に役割分担を明確にし、ヘルバンドなどで役割を明示する。時間的な余裕のある工程を組み、無理な作業を誘発することがないようにする。高所作業車のブームを操作する際は始動前に指差呼称で上下左右の安全を確認してから操作する。職長や重機作業、高所作業の有資格者について、テーマを持ち事故事例研究を定期的に行い安全意識の向上に努める。現地KYから現地の状況を確認し、指示について変更がある場合は再度KYをやり直す。
490,下水道,塗装,塗装工事,塗装工,労働災害,工具等取り扱い,曇り,2020年7月15時,島根県,施設内消化タンクの内壁を超高圧水にて劣化部除去作業時、超高圧水噴射装置を握った際の初動圧により、ハンドガンが手から離れ、残圧による水滴が左腕に当たり負傷した。,初動圧に耐える作業態勢を整えていなかった。,事故再発防止対策委員会を実施し、作業手順書の見直しを行う。
491,河川,土木一式,その他土木一式工事,その他土木一式工,第三者災害,建設機械等の転倒、下敷、接触、衝突等,,2020年7月8時,福岡県,掘削土仮置場で、整地を行うため、バックホウを移動させた際、バックホウのアームが架空線に接触した。,重機足場が悪かったため、オペレーターの意識が重機足場の補修に集中し、架空線への注意が欠如してしまった。バックホウの移動時に見張り員を配置していなかった。,
492,道路,土木一式,コンクリート構造物工事,橋梁下部工(橋台､橋脚),労働災害,建設機械等の転倒、下敷、接触、衝突等,,2020年7月10時,長崎県,,,
493,道路,鋼構造物,鋼橋上部工事,"鋼桁橋,箱桁橋工",第三者災害,その他,晴,2020年7月10時,徳島県,鋼橋主桁添接部現場塗装時に塗料が飛散し、近隣の駐車車両に飛沫が付着した。,高塗着スプレー作業前に作業箇所の養生を行っていたが、養生には作業員通路として開口部を設けていた。この開口部から塗料が飛散したと考えられる。,導電性飛散防護シートの開口部をマグネットと養生テープでしっかり養生し、塗装作業中は開閉しない。また、作業箇所の下面のみに設置していたメッシュシートをビニール製の下面シートに変更し、作業する径間全面の下面に防護範囲を広げて設置する。さらにメッシュシートを作業する径間の側面と桁間の出入り口を覆うように設置し、作業員以外の立入防止措置も行う。KY活動において、導電性飛散防止シートを密閉することの重要性や高塗着スプレーにおける塗料飛散の危険性等を踏まえた飛散防止確認を確実に行い、作業員一人一人の意識を高めて作業する。作業前には作業箇所ごとに導電性飛散防護シートの密閉や設置範囲等の養生状況の確認、作業中は地上部において、コンパネ等を用いて塗料飛散がないかの確認を点検表により確実に行う。
494,道路,,,,労働災害,墜落,晴,2020年7月15時,北海道,地形測量中に作業員が転石を目視確認するため、傾斜地に移動した際にバランスを崩し転落した。,現地法面勾配から法的な義務がないため、親綱や安全帯などの墜落制止器具を設置せずに転石確認作業を実施していた。,作業計画書において立入り禁止区域を明示し、安全活動において転落の危険性に対するリスク管理を行う。急傾斜地内に立入る必要がある場合は、作業計画書を見直し、親綱や安全帯など墜落制止器具を使用して作業を実施する。
495,道路,,,,労働災害,墜落,,2020年7月15時,北海道,,,
496,造園（余暇施設含む）,造園,造園工事（余暇施設を含む）,造園工（余暇施設を含む）,労働災害,墜落,,2020年7月14時,静岡県,,,
497,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,工具等取り扱い,,2020年7月9時,新潟県,下方法面で防草コンクリートを撤去するため、削岩機を用いて削孔を行っていた所、削岩機を下から支えていた被災者が足を滑らせ体勢を崩して、削岩機のレバーに接触してしまい、作動中の削岩機に左手が挟まり負傷した。,降雨の影響で足元の傾斜面が滑りやすくなっており、作業員が足を滑らせ体勢を崩したことにより削岩機のレバーに接触してしまった。作業範囲における斜面状況の確認不足があった。,
498,道路,とび・土工・コンクリート,構造物撤去工事,構造物撤去工,労働災害,工具等取り扱い,,2020年7月9時,新潟県,,,
499,道路,舗装,アスファルト舗装工事,アスファルト舗装工,第三者災害,その他,,2020年7月0時,島根県,夜間、片側交互通行規制をしての、舗装補修作業中に、一般自転車通行者が車道を走行し、施工反対側の歩道に乗り入れ、車道と歩道の段差にハンドルを取られ転倒した。,転倒した場所は出入口でなかったため、段差の擦り付けを行っていなかった。最初に自転車を発見した誘導員が工事個所に近い誘導員に無線で連絡をし、連絡を受けた誘導員が向かったが間に合わず自転車が先に道路を横断してしまった。自転車がまっすぐ歩道に入らず道路を横断して反対の歩道へ入ってしまった。,自転車通行者には歩道通行を促すよう誘導するよう、交通誘導員を指導した。段差の擦り付けを実施した。
500,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,落盤等,曇り,2020年7月9時,石川県,トンネル工において、掘削状況確認後、被災者が切羽に背を向けた際、切羽の一部が抜け落ち、岩石が被災者に接触した。,掘削完了後の切羽は最も危険な状態であるにも関わらず、切羽監視者が配置されていない中、不用意に切羽直下での確認作業を行ったことが一番の要因である。また、油断や進捗の遅れによる焦りに加え、指示者・作業員の安全意識低下があったと考えられる。,アタリ取り・コソク箇所の確認時にはマグネット固定式照明を設置、切羽監視員を配置し、切羽状況を監視する。一次吹付が完了するまで切羽付近に立ち入らない。その際、レーザーによる立入禁止範囲の明示を行う。作業手順を職員・作業員全員で緊急の事故再発防止周知検討会を実施し、今回の事故について、深掘りし、原因を共有・共感し事故防止対策を検討し、その内容を実行する。朝・夕礼時の作業交代引継ぎ時には、切羽状況や危険箇所を確実に伝達する。現場での取組みを客観的に評価し、アドバイス及び指導を行うため元請・協力業者の店社パトロールを増やすことで指導強化を図る。
501,道路,維持修繕,維持修繕工事,維持修繕工,第三者災害,工具等取り扱い,晴,2020年7月10時,群馬県,国道にて除草・剪定作業中に飛石により信号待ちをしていた一般車両を破損させた。,防護ネットが歩車道部の両面で使用されていなかった。刈払機の刃の回転方向が防護ネットの無い方に向いていた。歩道側の駐車場の車を防護しており車道側にネットを配置していなかった。防護ネットをどの位置で構えればいいのか理解されていなかった。刈払機の刃の回転方向・飛散方向の予測ができていなかった。防護ネットがあれば安全上問題ないと安心してしまっていた。元請けとしては計画・指導不足、作業員としては危険予知不足があった。施工計画時、歩道部施工の際車道側への防護が考慮されていなかった。,歩道側と車道側の両面で防護ネットを使用する。より大きな防護ネットを使用する。草刈り機の刃の回転方向、飛散方向の確認・再周知を行う。防護ネットを構えるべき向きを周知・徹底する。除草作業の際、飛散物を確認し、刈り込む。作業手順書に基づき適切に作業しているか元請け職員が管理・指導を行う。
502,道路,とび・土工・コンクリート,土工事,掘削又は切土工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2020年7月15時,山梨県,残土の上のバックホウが川側の法肩に寄っていたので山側の安全側に移動しようとした。左右と足場を確認し、キャタピラを切り返したが、法肩に寄りすぎて横転した。,バックホウを移動する際の基本的な操作を誤り、バケット上部本体を移動する方向に向けず、直角に向けたまま走行したため、法肩までの目測を誤り、バランスを崩して横転してしまった。掘削作業としての手順書はあったが、作業に対する事前のリスクの洗い出しが不十分であった。重機の専任の誘導員・監視員がその場を離れる場合のルールを詳細に決めていなかった。,専門講師を招聘した実地講習会を月に1回開催する。作業手順の中で、具体的な内容が不十分なものがないか店所にも相談する。また、作業に変更があった場合は工事を止め作業手順の検討を行う。誘導員は原則持ち場を離れてはいけないことを再徹底する。やむを得ず離れる際は、重機オペレータ－、誘導員は掛け声の無線合図を統一する。本線上等に誘導員を増員配置する。当日の作業内容等を電子野帳等のICTを活用し、作業前に被災リスクの高い箇所での適正な技能者の配置に漏れが無いか作業所全体で確認し情報を共有する。定期的に店所や経験豊富で専門的な知見のある人を交えた工種別施工方針会を行う。外部の労働安全コンサルタント等を招いて、パトロール及び教育訓練を毎月実施し、職員の現場管理や安全衛生管理のスキルアップを図る。元請、下請は本支店から安全専任者を増員する。元請はリモートカメラを導入し、現場を巡視する。
503,道路,土木一式,その他土木一式工事,その他土木一式工,第三者災害,自動車の転倒、下敷、接触、衝突等,曇り,2020年7月18時,鹿児島県,職場より帰宅中の被災者が、バイクで走行中にバランスを崩して転倒し、負傷した。,バイクの走行時バランスを崩して滑り転倒した。,事故発生原因や事故後の対応について月毎の安全訓練等で周知を図るとともに再発防止を徹底する。
504,道路,維持修繕,維持修繕工事,維持修繕工,第三者災害,その他,,2020年7月11時,大分県,,,
505,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,自動車の転倒、下敷、接触、衝突等,雨,2020年7月1時,神奈川県,被害者は荷台に取り付けていた飛散防止シートを外し、折り畳み丸める作業を、ﾀﾞﾝﾌﾟﾄﾗｯｸ後方路上にて行っていた。加害者が待機レーン後方から、前照灯未灯火、室内灯点灯、携帯電話を使用しながら徐行運転し、被害者を後輪で巻込んだ。,加害者は、前照灯無灯火、室内灯点灯、及び携帯電話で通話しながら運転していた。被災者は、後方ダンプが前照灯を点灯していない為、接近しているのに気づかなかった。街路灯の設置間隔が広かったのでダンプの陰となる部分が発生していた。事故現場は遠方であった為、現地確認の頻度が少なく、隠れた危険に気付くことが出来なかった。,確認の結果、発生土受入地場内のルールが定められていなかった事とともに、夜間の照明等が暗い状況であったことが判明したため、本工事にて発生土を搬入する際の事故防止としてルールを定める事とした。また停車場所、作業場所には仮設照明を設置し、夜間でも明るくするための対策を実施する。
506,道路,土木一式,コンクリート構造物工事,橋梁下部工(橋台､橋脚),労働災害,工具等取り扱い,晴,2020年7月14時,青森県,坑内にてブレーカー等の人力掘削機械を用いての岩盤掘削を行った後、ライナープレートの取付を行う作業をしていた。掘削面からブレーカーのノミが滑り、向きが変わり足元付近に刺さった為、引き寄せようとしたところ、左足の甲にあたり被災した。,,ブレーカーを増設し、作業員の体格や作業個所に応じて使い分けができるようにする。坑内の掘削残土の排出頻度を多くして作業足場の改善を行う。
507,河川,土木一式,護岸工事,護岸工,労働災害,建設機械等の転倒、下敷、接触、衝突等,,2020年7月17時,京都府,,,
508,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,墜落,晴,2020年7月13時,鳥取県,道路維持工事の短時間で移動しながら複数の種類の作業を行っていた。トンネル坑口に向かってブロック積みのスロープに平行した地山に繁茂した竹を手作業による伐採作業中に縦排水路に足を踏込み、バランスを崩して路面に滑り落ちた。,作業前に作業床の整備を怠っていたため、横断水路の確認ができていなかった。安易な対応をして、危険要因の発見ができなかった。,危険予知活動等では、作業箇所の特徴を明確にしたうえ、その危険予知を話し会い、元請として具体的な指導を行う。事前に粗除草を行い山側へ進入路を作り、事前に足元確認を実施、危険個所にはリボン等を設置する。転落の危険のある高所ではロープガイド鉄杭とトラロープで作業床を明確にする。作業姿勢は、常に道路側に正対して、危険個所を確認できる状態で作業を行う。
509,道路,鋼構造物,鋼橋上部工事,"鋼桁橋,箱桁橋工",労働災害,その他,曇り,2020年7月3時,茨城県,桁の架設を実施していた。足場で横桁を取付けていたところ、既に主桁に仮止めしていたガセットプレートと、クレーンで取付中の横桁が干渉したため、ガセットプレートを外し、主桁下フランジ上に立て掛けて仮置きした。横桁取付の作業を再開したところ、その振動でガセットプレートが被災者の右足に落下した。,外したガセットプレートを転倒や落下等が生じない場所に仮置きすべきところ、作業の効率性を意識するあまり、作業工程上、ある程度の振動が生じる可能性のある主桁の下フランジ上に立て掛けたまま作業を継続した。,
510,砂防・地滑り,土木一式,砂防工事,砂防ダム工,労働災害,墜落,曇り,2020年7月14時,富山県,砂防工事現場上流の土石流センサーを雪解けに伴い上流側に移設作業を完了して下山する際、他の作業員と離れて帰路ではない対岸のガケをよじ登ったが、それ以上進めなくなって戻ろうとしたところ足を滑らせ、下にあった小段に落下し勢いが止まらず、さらに落下して負傷した。,被災者が指示に従わなかった。事故後、同僚に聞くと被災者は日頃から作業に関係のない危険な箇所に行く癖があり、何度注意しても聞かない人間であった。被災者は高齢にも関わらず自分の体力を過信していた。,事故発生の翌日に再発防止対策会議を開催し、元請、下請により以下の対策を確認した。危険予知活動で周知・徹底した事項を守れない作業員は、即退場させる。危険な箇所での作業であることを認識し、不必要な行動はせず作業指示に従い行動する。現地までの行き帰りは、単独行動しないで足場の良い箇所を遠回りしてでも選定しながら設置・撤去にあたる。ロープなどが必要と思われる箇所には、アンカーを打ち込みロープなどを設置しておき、上下山時に使用できるようにしておく。
511,砂防・地滑り,土木一式,その他土木一式工事,その他土木一式工,労働災害,墜落,晴,2020年8月16時,石川県,現場代理人と被災者と他の作業員で擁壁工の掘削範囲の確認と測量準備をしていた時、斜面に設置されている湧水を取水している管を見つけ、調査しようと法面を登っている際に転倒して、斜面下に転落し背中を強打した。,被災者は取水管が工事の支障になることを予想し、取水を止める方法を探るために取水口を見ようと法面を滑り止めの無い普通の長靴で登ったため、転倒したと思われる。,工事範囲が分かるようにバリケードやトラロープ及び注意看板などで区画を明示し、工事範囲外への出入りを禁止する。毎朝の作業着手前や作業内容変更時にはＫＹ活動を実施し、作業に潜むリスクを作業員間で共有するとともに、その内容を別添様式により記録・保管し、発注者へ提出する。ＫＹ活動や安全教育にて、安全施設が設置されていない箇所での作業は行わないことを周知徹底する。工事範囲外で行動する必要がある場合には、現場代理人の指示を仰ぐとともに、複数人で行動する。
512,道路,土木一式,護岸工事,護岸工,第三者災害,自動車の転倒、下敷、接触、衝突等,,2020年8月18時,兵庫県,作業終了後、夜間交通の照明器具用燃料の補充のため携行缶を工事車両で取りに行き、交通誘導員がバイクを止めた際に停車後バランスを崩し転倒。,交通誘導員の指示に従い出ようとしたところバイクが下ってきた。,
513,道路,,,,労働災害,墜落,晴,2020年8月9時,宮城県,,,朝礼では作業手順を再確認し、TBM及びKYにて守るべき事項を明確にし、実行を徹底する。作業箇所ごとに条件が異なる場合は、箇所ごとに手順の再検討を行う。傾斜地等で作業性の悪い場合は、作業用架台を設置して作業性の向上を図る。日常的で慣れた作業でも危険性があることを認識し、不安全行動を行わないよう、お互いに声掛けを行う。作業性が悪い場合は現場責任者に報告し、作業の手順変更を検討する。
514,河川,土木一式,護岸工事,護岸工,労働災害,その他,曇り,2020年8月13時,北海道,地盤改良工事に使用するプラントを運転中、アジテーターの吐出口にセメントカスが詰まった為、吐出口を開放して除去している際に、誤って手を入れ、撹拌翼に挟まれ、負傷しました。,セメントプラントは停止ボタンを押し停止したが、発電機により回転音が聞こえなく、モルタル固結防止の為のアジテーターの撹拌翼が回転していることがわからなかった。,工事現場内において安全大会を実施事故の再発防止策を北見労働基準監督署に提出
515,道路,土木一式,コンクリート構造物工事,コンクリート擁壁工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2020年8月14時,滋賀県,削孔作業中、ボーリングマシンの横に検尺棒が置いてあり、作業員が検尺棒を取るために腰を下ろし立ち上がった時にバランスを崩し、ボリーングマシンにもたれかかり右人差指を機械に挟んだ。,ボーリングマシンが稼働している所に被災者が立ち入った。,事故の原因確認と、全作業員への再発防止のお願いを行った。作業スペースが限られているため、通路等の整理や、資材、機材の配置場所の見直しを行うこととした。また、再発防止対策として、マシンが稼働している間は、マシン付近に近づかないこと、マシンの運転手から見える位置に作業員を配置すること、現場指揮者の指示のもと作業を行うこと、を全作業員へ徹底することとした。
516,その他,土木一式,その他土木一式工事,その他土木一式工,労働災害,その他,,2020年8月8時,徳島県,,,
517,道路,土木一式,その他土木一式工事,その他土木一式工,労働災害,工具等取り扱い,,2020年8月8時,徳島県,歩道を肩掛け式草刈機を運転し除草中、飛散防止板を持った被害者本人は、肩掛け式草刈り機が稼働中にもかかわらず、草刈り機作業者が休憩するものと思い込んで草刈り機作業者の方へと近寄った結果、被害者本人の左足に回転中の草刈機の刃が当たり負傷した。,飛散防止板を持った被害者本人の誤った思い込みないし自己都合勝手な一方的判断による不規則な言動と共に稼働中の草刈機の動きや回転中の刃から視線をそらしたことなどの不注意、及び草刈機作業者の被害者本人の不規則な言動等に対する作業中であることの注意喚起の不徹底。,
518,河川,維持修繕,維持修繕工事,維持修繕工,労働災害,工具等取り扱い,曇り,2020年8月13時,栃木県,河川除草作業中、堤防内法面を除草完了し、次の河床へ移動しようと草刈機のエンジンを停止し、河川と市道間のガードレールに肩掛け式草刈機の刃を上に向け立て掛け、ガードレールを跨ごうとした時、刃の部分が惰性にて回転しており、腕に当たり負傷した。,肩掛け式草刈機の刃を上に向け、立て掛けたままガードレールを跨ごうとしたヒューマンエラー。,ガードレールに草刈機を立て掛けない。刃が完全に止まってから作業場を移動することを徹底する。
519,その他,維持修繕,維持修繕工事,維持修繕工,労働災害,工具等取り扱い,晴,2020年8月9時,鹿児島県,作業員Aが長い草を引っ張り作業員Bが草払機にて切ろうとした時、作業員Aの持っていた草払機にて、足に当たり怪我をした。又、その様子を見ていた作業員Cにもキックバックした草払機が当り怪我をした。,一人一人の軽率な行動。草払機の回転が停止していなかった・周囲の確認が不十分であった。,同日午後、警察による現場確認・状況の聴衆あり。従業員に対して安全教育を実施済み。
520,建築,管,給排水衛生設備工事,給排水衛生設備工,労働災害,飛来、落下,晴,2020年8月11時,千葉県,トイレ改修工事に伴い既存天井吊り配管を撤去作業中に配管が落下してしまい、下でロープにて配管を支えていた被災者の右足に直撃し受傷した。,作業手順が具体的でなかった。人員配置が適切でなかった。,撤去配管については各配管の上流側より適切に切断し、鋳鉄管の継手部分は、１か所毎に撤去する。配管の真下には絶対に入らない。
521,その他,とび・土工・コンクリート,その他のとび・土工・コンクリート工事（その他のとび、コンクリート等工事）,その他のとび･土工･コンクリート工,労働災害,その他,晴,2020年8月14時,石川県,資材運搬中、足元の石につまずき転倒し負傷した。,始業前点検が不十分であり、作業者への注意喚起ができていなかった。,始業前に作業通路の安全確認を行う。危険個所をカラーコーンで明示し、作業員に周知させる。重量資材を運搬する際は、複数名で行い、お互いに声を掛け合いながら作業する。
522,砂防・地滑り,土木一式,その他土木一式工事,その他土木一式工,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2020年8月14時,新潟県,砂防堰堤の補強部において、仮締切に使用するコンクリートブロックを不整地運搬車に積載し、仮設道路を運搬していたところ、入口付近にて不整地運搬車が運転手とも斜面を滑落した。,事故の直接的原因は、よそ見からくる被災者本人の運転操作の誤りであり、間接的な原因は、ベテラン運転手であり、経験の豊富さからくる油断だと思われる。,全従業員に対する再安全教育。路肩明示の視認性向上。運搬機械の見直し。注意喚起看板の設置。転落防止措置及び道路安全幅の確保。
523,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,工具等取り扱い,,2020年8月11時,鹿児島県,木工事を施工していた作業員が、ボードと電動丸鋸にて加工中に負傷した。,加工の際に移動が必要であったが、移動が怠り不適切な姿勢で作業を行った。,
524,河川,土木一式,根固・水制工事,根固・水制工,労働災害,取扱運搬等,,2020年8月9時,福岡県,,,
525,建築,建築一式,建築一式工事,建築一式工（１）,労働災害,墜落,晴,2020年8月2時,東京都,天井内にある雨水本管の改修作業を行っていた。撤去が完了し、新設の雨水本管を接続する作業の際、脚立に乗り揚重作業中に作業員がバランスを崩し、脚立から落下。同時に雨水本管も落下し作業員の左足を負傷した。,持ち上げていた重みがある本管を斜めにして狭い空間に挿入しながら作業を行っていたことと、且つ、脚立を跨いで使用していたことで、本管を揚重した際にバランスを崩したことが原因である。,重量物の揚重はチェーンブロックなどの揚重治具を使用すると共に、人力でしか揚重することができない場合は、揚重役のほかにサポート役を配置する。脚立の使用を原則禁止とし、可動式作業台や手摺付脚立を使用する。可動式作業台等が使用できない場合のみ、脚立の使用を認め、使用する際は元請会社に使用届を提出し使用注意事項を基に確認する。また、元請社員の人数を増員し、安全対策として現場の巡回及び施工手順の確認など施工管理の強化を行う。
526,道路,土木一式,トンネル工事,ＮＡＴＭ、矢板トンネル、ＴＢＭ,労働災害,建設機械等の転倒、下敷、接触、衝突等,晴,2020年8月10時,福井県,鋼管削孔作業中、洗浄するためにインナーロッドから注水し洗浄した。洗浄後、鋼管がドリフター側のスリーブに引っかかったがそれも取れ、送り込んだ新規ロッドと既設ロッドに手を挟んで負傷した。,鋼管内を水洗い後、ロッドを先に接続するのにロッドを鋼管よりも出す必要がある。鋼管を坑口側へ押す又は固定しドリフターでロッドを押すが、手が添えられたままの状態となっていた。,事故原因究明と再発防止にかかる安全教育訓練を行った。手指の挟まれ・巻き込まれの危険性の再教育、指導の徹底。鋼管・ロッド装填前の清掃徹底。鋼管・ロッド接続作業者とジャンボ操作者の双方合図・確認の徹底。
